ts,datetime,symbol,long_exchange,short_exchange,direction,mode,funding_hl,funding_aster,spread_bps,notional_usd,expected_funding_bps,expected_net_bps,expected_net_usd,estimated_cost_bps,basis_bps,liquidity_score,stability_score,risk_score,horizon_hours,decision,reason
1778862457,2026-05-15T16:27:37.037905+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862457,2026-05-15T16:27:37.037905+00:00,HYPE,,hyperliquid,short,single,,,,25,0.011148875,-7.910809,-0.0197770225,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862518,2026-05-15T16:28:37.836682+00:00,BTC,,hyperliquid,short,single,,,,25,0.01356,-7.89152,-0.0197288,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862518,2026-05-15T16:28:37.836682+00:00,ETH,hyperliquid,,long,single,,,,25,-0.000198875,-7.998409,-0.0199960225,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862518,2026-05-15T16:28:37.836682+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862518,2026-05-15T16:28:37.836682+00:00,HYPE,,hyperliquid,short,single,,,,25,0.013007375,-7.895941,-0.0197398525,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862579,2026-05-15T16:29:39.302525+00:00,BTC,,hyperliquid,short,single,,,,25,0.013610625,-7.891115,-0.0197277875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862579,2026-05-15T16:29:39.302525+00:00,ETH,,hyperliquid,short,single,,,,25,6.35e-05,-7.999492,-0.01999873,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862579,2026-05-15T16:29:39.302525+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778862579,2026-05-15T16:29:39.302525+00:00,HYPE,,hyperliquid,short,single,,,,25,0.01384025,-7.889278,-0.019723195,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
