ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778885214,2026-05-15T22:46:54.161218+00:00,hyperliquid,ETH,3.500875e-07,0.003500875,,,,,
1778885214,2026-05-15T22:46:54.161218+00:00,hyperliquid,SOL,-8.922875e-07,-0.008922875,,,,,
1778885214,2026-05-15T22:46:54.161218+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885270,2026-05-15T22:47:49.893382+00:00,hyperliquid,BTC,-1.57725e-06,-0.0157725,,,,,
1778885270,2026-05-15T22:47:49.893382+00:00,hyperliquid,ETH,3.787125e-07,0.003787125,,,,,
1778885270,2026-05-15T22:47:49.893382+00:00,hyperliquid,SOL,-8.893125e-07,-0.008893125,,,,,
1778885270,2026-05-15T22:47:49.893382+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885275,2026-05-15T22:47:54.876853+00:00,hyperliquid,BTC,-1.576025e-06,-0.01576025,,,,,
1778885275,2026-05-15T22:47:54.876853+00:00,hyperliquid,ETH,3.794125e-07,0.003794125,,,,,
1778885275,2026-05-15T22:47:54.876853+00:00,hyperliquid,SOL,-8.881875e-07,-0.008881875,,,,,
1778885275,2026-05-15T22:47:54.876853+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885331,2026-05-15T22:48:50.605530+00:00,hyperliquid,BTC,-1.55465e-06,-0.0155465,,,,,
1778885331,2026-05-15T22:48:50.605530+00:00,hyperliquid,ETH,4.01375e-07,0.00401375,,,,,
1778885331,2026-05-15T22:48:50.605530+00:00,hyperliquid,SOL,-8.838125e-07,-0.008838125,,,,,
1778885331,2026-05-15T22:48:50.605530+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885336,2026-05-15T22:48:55.575712+00:00,hyperliquid,BTC,-1.5537e-06,-0.015537,,,,,
1778885336,2026-05-15T22:48:55.575712+00:00,hyperliquid,ETH,4.02025e-07,0.00402025,,,,,
